,Data Source,Exp,P (GPa), T (Â°C),P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,Total,Unnamed: 17,H2O_Liq,Unnamed: 19,SiO2_Plag,TiO2_Plag,Al2O3_Plag,FeOt_Plag,MnO_Plag,MgO_Plag,CaO_Plag,Na2O_Plag,K2O_Plag,Total.1
0,This work,CA-4,0.15,1000,1.5,1273.15,64.34105174877308,0.2868130707585265,17.985527116854072,1.7106715537056598,0.01735168043734858,0.46747468472386167,1.7361887308194077,4.492043859104181,7.542877554823881,0,98.58000000000003,,1.37,,58.9575,0.04625,25.242,0.6677500000000001,0.013750000000000002,0.0475,6.7989999999999995,6.10525,1.9845,99.8635
1,This work,CA-7,0.15,1000,1.5,1273.15,65.40112536118012,0.2794411719977696,16.953755360673195,1.7004292593906831,0.008918335276524561,0.6005012419526539,1.0702002331829474,4.4056576266031335,7.319971409742993,0,97.74000000000002,,1.72,,58.2825,0.026750000000000003,26.5,0.59025,0.027749999999999997,0.026500000000000003,7.5645,6.001,1.584,100.60325000000002
2,This work,CA-8,0.15,1000,1.5,1273.15,63.159,0.372,17.245,2.351,0.11,0.809,1.983,4.692,7.052,0,97.773,,2.2,,57.4732,0.0782,26.278399999999998,0.9708,0.0172,0.1028,7.9796,5.5292,1.6103999999999998,100.03980000000001
3,This work,CA-9,0.15,1000,1.5,1273.15,64.45,0.28,18.01,1.73,0.04,0.52,1.91,4.41,7.42,0,98.77000000000001,,1.27,,58.651,0.04900000000000001,26.017333333333337,0.505,0.013,0.015333333333333332,7.070666666666667,6.05,1.76,100.13133333333333
4,This work,CA-17,0.15,1000,1.5,1273.15,62.794736108406184,0.3092848430180711,17.322925101733308,2.09956826125729,0.14472944577127683,0.7246385264301601,1.6485278651892696,4.3924395494008746,7.273150298793549,0,96.70999999999998,,2.96,,54.291,0.033,29.029833333333332,0.7006666666666668,0.030166666666666665,0.0645,10.912833333333333,4.498666666666667,0.8126666666666668,100.37333333333333
5,This work,CA-21,0.15,1000,1.5,1273.15,62.595,0.322,17.374,2.129,0.047,0.878,2.203,4.349,6.483,0,96.38000000000001,,3.5,,54.23779999999999,0.039400000000000004,28.840999999999998,0.8784000000000001,0.018,0.068,10.863800000000001,4.4026,0.7836000000000001,100.1326
6,This work,CA-19,0.15,1020,1.5,1293.15,62.217,0.427,16.986,2.636,0.149,1.059,2.623,4.289,6.389,0,96.77499999999999,,2.23,,56.372,0.048249999999999994,27.60975,0.5695,0.01575,0.035500000000000004,9.5575,5.16775,1.1312499999999999,100.50725
7,This work,CA-22,0.15,1020,1.5,1293.15,61.82,0.33,17.42,2.87,0.12,1.21,3.12,4.26,6.09,0,97.24000000000001,,2.63,,54.892833333333336,0.04399999999999999,27.938833333333335,0.8140000000000001,0.0035,0.08766666666666667,10.2455,4.6605,0.9804999999999998,99.66733333333333
8,Masotta and Keppler (GCA2015),AND-15,0.2,850,2.0,1123.15,65.79829491066947,0.46582676225391306,18.936878744470498,1.6260611071359012,0.0,0.24950020121869182,1.6961547764276441,5.017830242781398,6.05573482859605,0,99.84628157355357,,7.324896999999993,,57.38,0.19,23.75,1.16,0.0,0.43,7.34,5.92,1.6,97.77
9,Masotta and Keppler (GCA2015),AND-13,0.202,900,2.02,1173.15,63.915131774819905,0.43452801093347987,19.61293529329705,1.7137672019149963,0.0,0.7961047147295667,2.759542488242844,5.693032737636393,4.8701917981675535,0,99.79523401974177,,5.746696999999994,,54.08,0.19,27.37,1.21,0.0,0.17,10.56,4.9,0.69,99.17
10,Masotta and Keppler (GCA2015),AND-16,0.202,900,2.02,1173.15,63.87034155578967,0.47799002413357927,19.56160176264753,1.8341621338662304,0.0,0.6516514552001559,2.9971399469559947,5.610474097992842,4.798859233612536,0,99.80222021019854,,6.357239833333332,,54.85,0.14,26.43,1.06,0.0,0.24,10.13,5.11,0.97,98.92999999999999
11,Masotta and Keppler (GCA2015),AND-18,0.195,950,1.9500000000000002,1223.15,60.19212031931483,0.8809982207344332,19.12821433418557,3.315834585741143,0.0,1.4744584171780868,5.232112300151011,5.59930360700522,3.7021105610307794,0,99.52515234534108,,7.397259875000002,,49.2,0.16,29.53,1.26,0.0,0.23,14.96,2.62,0.62,98.58000000000001
12,Masotta and Keppler (GCA2015),AND-7,0.2,850,2.0,1123.15,64.71,0.67,19.51,1.64,0.0,0.48,2.28,4.81,5.76,0,99.86000000000001,,7.573925,,56.64,0.22,24.17,1.18,0.0,0.35,7.89,5.51,1.75,97.71000000000001
13,Masotta and Keppler (GCA2015),AND-10,0.2,850,2.0,1123.15,65.21848974684174,0.6149441330099473,19.560685070938913,1.4504895415402896,0.0,0.43449873480355633,2.4922409841859605,4.696350863864034,5.393285986299654,0,99.8609850614841,,7.1043,,56.8,0.34,23.43,1.87,0.0,0.3,7.26,5.6,1.81,97.41
14,Masotta and Keppler (GCA2015),AND-8,0.202,900,2.02,1173.15,62.80909867056882,0.5788087123251413,19.793667476321716,1.9760757991490612,0.0,0.7126499880697832,3.525079619974802,5.833065881881911,4.504099487650981,0,99.73254563594222,,6.649538727272729,,52.81,0.05,28.6,1.04,0.0,0.13,12.04,4.48,0.49,99.64000000000001
15,Masotta and Keppler (GCA2015),AND-12,0.202,900,2.02,1173.15,63.983466055454734,0.479804906156538,19.652165107389408,1.8168698848875287,0.0,0.8157870131207736,2.7487930570272403,5.363222404674935,4.906888287799058,0,99.7669967165102,,5.892745500000007,,54.7,0.19,26.29,1.13,0.0,0.24,9.75,5.06,1.08,98.44
16,Masotta and Keppler (GCA2015),AND-9,0.17,950,1.7000000000000002,1223.15,62.01337552157191,0.6412670024017953,19.28712289747857,2.459951859475692,0.0,1.154972326411574,4.5795782392673985,5.506428615505082,3.9862993031021055,0,99.62899576521411,,6.030266000000001,,51.32,0.15,28.13,1.42,0.0,0.23,12.49,3.24,0.87,97.85
17,Masotta and Keppler (GCA2015),AND-11,0.17,950,1.7000000000000002,1223.15,62.020557582509106,0.6285311528901871,19.175323419034193,2.384905433380119,0.0,1.2791085587298716,4.579311271563177,5.629781369478966,3.9381308866942093,0,99.63564967427983,,6.562357625000004,,49.1,0.05,30.86,1.18,0.0,0.13,15.09,2.89,0.2,99.5
18,Masotta and Keppler (GCA2015),AND-19,0.202,950,2.02,1223.15,62.35027868084509,0.4900813339799019,19.70954272154424,2.0948267972846586,0.0,0.9743969989309762,3.4174069627956745,6.0830064923644125,4.600600851403095,0,99.72014083914806,,5.116394166666666,,53.79,0.15,26.55,1.1,0.0,0.28,10.07,4.69,1.09,97.72
