,Reference,spot/exp.,T ,P,H2O_Liq,∆NNO,logfO2,Unnamed: 7,SiO2_Amp,TiO2_Amp,Al2O3_Amp,Cr2O3_Amp,FeOt_Amp,MnO_Amp,MgO_Amp,CaO_Amp,Na2O_Amp,K2O_Amp,F,Cl,T_K,P_kbar,H2O_Liq.1,SiO2_Amp_cat_prop,MgO_Amp_cat_prop,FeOt_Amp_cat_prop,CaO_Amp_cat_prop,Al2O3_Amp_cat_prop,Na2O_Amp_cat_prop,K2O_Amp_cat_prop,MnO_Amp_cat_prop,TiO2_Amp_cat_prop,Cr2O3_Amp_cat_prop,F_Amp_cat_prop,Cl_Amp_cat_prop,Si_Amp_13_cat,Mg_Amp_13_cat,Fet_Amp_13_cat,Ca_Amp_13_cat,Al_Amp_13_cat,Na_Amp_13_cat,K_Amp_13_cat,Mn_Amp_13_cat,Ti_Amp_13_cat,Cr_Amp_13_cat,F_Amp_13_cat,Cl_Amp_13_cat,cation_sum_Si_Mg,Si_T,Al_IV_T,Ti_T,Cr_C,Fe3_C,Mg_C,Fe2_C,Mn_C,Ca_B,Na_B,Na_A,K_A,Al_VI_C,Ti_C,Charge,Sum_input,H2O_calc,Fe3_calc,Fe2_calc,Fe2O3_calc,FeO_calc,"O=F,Cl",Total_recalc,Total,Fail Msg,Input_Check,Mgno_Fe2,Mgno_FeT,Na_calc,B_Sum,A_Sum,class,classification
47,Freise et al. (2009),86,1000,492.9,5.03,,,,41.22,4.52,13.59,,13.87,0.16,10.68,11.19,2.37,0.76,,,1273.15,4.928999999999999,5.03,0.6860395446375074,0.2649861055974593,0.19305180525011828,0.1995399347349275,0.266572513019684,0.07647751657819585,0.016136737618769575,0.0022555225058855043,0.05657212946506796,0.0,0.0,0.0,6.069173123848157,2.344247591638558,1.70786777102401,1.7652661839887573,2.3582820323143165,0.67657220611137,0.1427565728943133,0.01995388848931163,0.5004755926856485,0.0,0.0,0.0,1.4694776204757223,6.069173123848157,1.9308268761518432,0.0,0.0,0.15255938763486654,2.344247591638558,1.5553083833891435,0.01995388848931163,1.7652661839887573,0.23473381601124266,0.4418383901001274,0.1427565728943133,0.4274551561624733,0.5004755926856485,45.84744061236513,98.36,1.9216245806220984,0.15255938763486654,1.5553083833891435,1.3769209431706362,12.631028961143237,-0.0,100.41957448493596,,,True,0.6011575693876031,0.578524395736403,0.23473381601124266,2.0,0.5845949629944407,N/A,kaersutite
48,Freise et al. (2009),87,1000,492.9,4.1,-1.2597588779471192,-11.41,,40.04,5.31,13.42,,14.62,0.13,11.09,10.6,2.43,0.86,,,1273.15,4.928999999999999,4.1,0.6664003728113973,0.27515879317189357,0.2034907997661665,0.18901906239412256,0.2632379046890478,0.07841365623840334,0.018259992568607677,0.001832612036031972,0.0664597361636086,0.0,0.0,0.0,5.867073618620101,2.4225330030045735,1.7915588760900554,1.6641478601074042,2.3175799849965673,0.6903638002406793,0.16076329643020412,0.016134549391694102,0.58511996789701,0.0,0.0,0.0,1.4765802186381456,5.867073618620101,2.1329263813798987,0.0,0.0,0.5986100250835094,2.4225330030045735,1.192948851006546,0.016134549391694102,1.6641478601074042,0.33585213989259577,0.35451166034808357,0.16076329643020412,0.1846536036166686,0.58511996789701,45.40138997491649,98.5,1.9309125936037288,0.5986100250835094,1.192948851006546,5.428853526795252,9.735048305964245,-0.0,100.97481442636321,,,True,0.6700442986090348,0.5748647804814924,0.33585213989259577,2.0,0.5152749567782877,N/A,kaersutite
49,Freise et al. (2009),102,1000,492.9,4.2612720397534645,-2.099758877947119,-12.25,,40.68,5.34,12.73,,15.12,0.15,10.19,11.01,2.23,1.03,,,1273.15,4.928999999999999,4.2612720397534645,0.6770521270221689,0.25282850337435486,0.21045012944353197,0.19633017707163108,0.249703317935289,0.07195985737104503,0.02186952598333245,0.00211455234926766,0.06683521489899621,0.0,0.0,0.0,6.0327451063351365,2.252780628844748,1.875176131728618,1.7493629628845575,2.2249342542283115,0.6411847184013527,0.1948642808849754,0.018841319343076594,0.5955225595201099,0.0,0.0,0.0,1.4589838450236086,6.0327451063351365,1.9672548936648635,0.0,0.0,0.18375548900574046,2.252780628844748,1.6914206427228775,0.018841319343076594,1.7493629628845575,0.2506370371154425,0.3905476812859102,0.1948642808849754,0.257679360563448,0.5955225595201099,45.81624451099426,98.48000000000002,1.907901951184719,0.18375548900574046,1.6914206427228775,1.6466371011318848,13.638334919714682,-0.0,100.55287397203129,,,True,0.5711626952418122,0.5457374579020157,0.2506370371154425,2.0,0.5854119621708856,N/A,kaersutite
50,Freise et al. (2009),61,900,500.0,8.011442175539642,3.185486730266847,-8.58,,42.65,1.81,12.96,,10.8,0.2,14.13,12.06,2.17,0.74,,,1173.15,5.0,8.011442175539642,0.7098395579522002,0.3505855498213577,0.15032152103109428,0.21505376344086022,0.2542148468532086,0.07002371771083754,0.015712086628801955,0.0028194031323568805,0.022653883701719696,0.0,0.0,0.0,6.1914244659390265,3.057907841640472,1.3111474735981925,1.8757606807673384,2.2173348960046075,0.6107669742746036,0.13704533154669382,0.024591643755918983,0.1975936790617826,0.0,0.0,0.0,1.4904347624919374,6.1914244659390265,1.8085755340609735,0.0,0.0,0.5052951466377991,3.057907841640472,0.8058523269603934,0.024591643755918983,1.8757606807673384,0.12423931923266163,0.48652765504194195,0.13704533154669382,0.40875936194363405,0.1975936790617826,45.4947048533622,97.52,1.949030074027918,0.5052951466377991,0.8058523269603934,4.625569287621648,6.637853717010165,-0.0,99.93245307865972,,,True,0.791433139792368,0.6999013793610965,0.12423931923266163,2.0,0.6235729865886358,N/A,Mg-hastingsite
51,Freise et al. (2009),55,950,500.0,6.56,3.0330871460977553,-7.89,,41.46,2.25,13.57,,10.36,0.18,14.69,12.12,2.35,0.65,,,1223.15,5.0,6.56,0.6900339524665469,0.3644799523620484,0.14419731091501264,0.216123682661959,0.26618020615725624,0.07583213669146001,0.013801157173947663,0.002537462819121192,0.028160905154071443,0.0,0.0,0.0,5.997929006201967,3.1681410322449683,1.253395185355619,1.8785952495985303,2.3136977154248464,0.6591498442042691,0.11996273608983928,0.022056192728724985,0.24478086804387536,0.0,0.0,0.0,1.4955897898740567,5.997929006201967,2.002070993798033,0.0,0.0,0.6645794565922927,3.1681410322449683,0.5888157287633262,0.022056192728724985,1.8785952495985303,0.1214047504014697,0.5377450938027994,0.11996273608983928,0.3116267216268134,0.24478086804387536,45.33542054340771,97.63000000000001,1.9557712636814588,0.6645794565922927,0.5888157287633262,6.104730502119873,4.866885577079429,-0.0,100.19738734288077,,,True,0.8432732218602114,0.7165249533937342,0.1214047504014697,2.0,0.6577078298926388,N/A,Mg-hastingsite
52,Freise et al. (2009),56,950,500.0,6.471510926126811,2.4730871460977557,-8.45,,42.97,2.08,12.3,,10.17,0.32,15.09,11.85,2.13,0.7,,,1223.15,5.0,6.471510926126811,0.715165435057586,0.37440452560539894,0.14155276563761376,0.21130904616701437,0.2412687203930915,0.06873295793736588,0.014862784648866713,0.004511045011771009,0.026033192320208266,0.0,0.0,0.0,6.185993688596076,3.238501077992274,1.224394345578363,1.8277679007615266,2.0869112354222468,0.5945220828029094,0.12855919417504974,0.03901935776516003,0.22518029464587996,0.0,0.0,0.0,1.5029356840256696,6.185993688596076,1.814006311403924,0.0,0.0,0.7121237195928316,3.238501077992274,0.5122706259855314,0.03901935776516003,1.8277679007615266,0.17223209923847338,0.42228998356443603,0.12855919417504974,0.2729049240183228,0.22518029464587996,45.28787628040717,97.60999999999999,1.9653774329566447,0.7121237195928316,0.5122706259855314,6.573594946481283,4.254995365738905,-0.0,100.23396774517681,,,True,0.8634226056887832,0.7256502271794755,0.17223209923847338,2.0,0.5508491777394857,N/A,Mg-hastingsite
53,Freise et al. (2009),98,960,500.3,6.93,-0.6872042316125224,-11.45,,40.13,4.0,13.61,,13.89,0.14,11.13,11.6,2.46,0.71,,,1233.15,5.003,6.93,0.6678982757472871,0.2761512504962287,0.19333017843721292,0.206851049412436,0.2669648198821118,0.07938172606850707,0.015075110143850523,0.0019735821926498164,0.0500638313850159,0.0,0.0,0.0,5.9618135581938665,2.464989548713166,1.7257096190664891,1.846400021820538,2.3829893571040897,0.708579536634594,0.13456389889061485,0.0176166483753607,0.4468812685470266,0.0,0.0,0.0,1.4563819381405063,5.9618135581938665,2.0381864418061335,0.0,0.0,0.26367751024784525,2.464989548713166,1.4620321088186439,0.0176166483753607,1.846400021820538,0.15359997817946192,0.5549795584551321,0.13456389889061485,0.34480291529795615,0.4468812685470266,45.736322489752155,97.66999999999997,1.9044994575683545,0.26367751024784525,1.4620321088186439,2.358606363904415,11.76769588992396,-0.0,99.81080171139669,,,True,0.6276995045304761,0.5882048436369112,0.15359997817946192,2.0,0.689543457345747,N/A,Pargasite
54,Freise et al. (2009),83,1040,489.3,2.84,-1.6958366983641042,-11.27,,39.24,5.96,13.87,,12.74,0.1,12.04,10.95,2.31,0.78,,,1313.15,4.893,2.84,0.6530856800479329,0.29872965462485107,0.17732372017927234,0.19526025785053228,0.27206480909367303,0.07454137691798836,0.016561388608737196,0.0014097015661784403,0.07459510876367369,0.0,0.0,0.0,5.747403185800173,2.62893494856271,1.5605163999331426,1.7183647755803593,2.394274133241335,0.6559925600281639,0.14574653917407102,0.012405911689698677,0.656465420772941,0.0,0.0,0.0,1.4772086742755814,5.747403185800173,2.252596814199827,0.0,0.0,0.5595200032494887,2.62893494856271,1.000996396683654,0.012405911689698677,1.7183647755803593,0.28163522441964073,0.37435733560852313,0.14574653917407102,0.14167731904150793,0.656465420772941,45.44047999675051,97.99,1.9317344202065294,0.5595200032494887,1.000996396683654,5.076501971771003,8.172098732378664,-0.0,100.43033512435619,,,True,0.7242382013658398,0.6275129437907381,0.28163522441964073,2.0,0.5201038747825941,N/A,kaersutite
55,Freise et al. (2009),100,960,500.3,4.679912872680916,-1.947204231612524,-12.71,,40.53,4.49,12.8,,16.92,0.16,9.71,10.36,2.27,0.94,,,1233.15,5.003,4.679912872680916,0.6745556221290193,0.24091901548233427,0.23550371628204772,0.18473938550972735,0.2510763919537863,0.0732506171445167,0.019958596528478156,0.0022555225058855043,0.056196650729680345,0.0,0.0,0.0,6.004232484694159,2.144424761258448,2.0962230795793655,1.6443688011657944,2.2348357633588734,0.6520051431709523,0.17765184914917523,0.02007644893248887,0.5002074621766653,0.0,0.0,0.0,1.4605069190827535,6.004232484694159,1.9957675153058414,0.0,0.0,0.6378897482477512,2.144424761258448,1.4583333313316142,0.02007644893248887,1.6443688011657944,0.3556311988342056,0.2963739443367467,0.17765184914917523,0.23906824805303195,0.5002074621766653,45.36211025175225,98.18,1.9098936634159085,0.6378897482477512,1.4583333313316142,5.722111732678875,11.771170829338583,-0.0,100.66317622543338,,,True,0.5952175267245872,0.5056832922100836,0.3556311988342056,2.0,0.4740257934859219,N/A,kaersutite
56,Pietranik et al. (2009),850/0.9/2,850,200.0,5.2445292472839355,-0.09,-12.896729504618524,,43.2,3.1,10.5,,15.1,0.2,11.9,11.6,2.0,0.8,,,1123.15,2.0,5.2445292472839355,0.7189934092270821,0.2952560539896784,0.21017175625643736,0.206851049412436,0.2059611027745903,0.06453798867358299,0.016986039598704816,0.0028194031323568805,0.03879946932338732,0.0,0.0,0.0,6.349800770259957,2.607558143075336,1.8561349278551156,1.8268080569752916,1.8189484802754747,0.5699681873733505,0.15001245622469514,0.02489959984578774,0.34265807868832754,0.0,0.0,0.0,1.4720011947035325,6.349800770259957,1.6501992297400427,0.0,0.0,0.42253706427932514,2.607558143075336,1.4335978635757904,0.02489959984578774,1.8268080569752916,0.17319194302470842,0.3967762443486421,0.15001245622469514,0.168749250535432,0.34265807868832754,45.577462935720675,98.4,1.9249246392276964,0.42253706427932514,1.4335978635757904,3.820146917442763,11.662583045624448,-0.0,100.70765460229492,,,True,0.6452505517687743,0.5841705739260862,0.17319194302470842,2.0,0.5467887005733373,N/A,Mg-hastingsite
57,Pietranik et al. (2009),800/0.9/2,800,200.0,4.6,-0.09,-13.907467352400202,,44.6,2.3,10.8,,16.0,0.3,10.8,11.3,1.8,0.8,,,1073.15,2.0,4.6,0.7422941215631449,0.26796347757046446,0.22269854967569522,0.201501453306942,0.21184570571100717,0.05808418980622469,0.016986039598704816,0.00422910469853532,0.02878670304638414,0.0,0.0,0.0,6.529779570728247,2.357209077523417,1.9590245939721647,1.772558929208486,1.8635547838978397,0.510952390651155,0.1494220298089327,0.037202398161006636,0.2532295757173252,0.0,0.0,0.0,1.477817662265231,6.529779570728247,1.4702204292717527,0.0,0.0,0.3649346443339567,2.357209077523417,1.594089949638208,0.037202398161006636,1.772558929208486,0.227441070791514,0.28351131985964106,0.1494220298089327,0.393334354626087,0.2532295757173252,45.63506535566604,98.69999999999999,1.9325307891160715,0.3649346443339567,1.594089949638208,3.312402009785183,13.019458394085747,-0.0,100.964391192987,,,True,0.5965656006593594,0.546126381685596,0.227441070791514,2.0,0.4329333496685738,N/A,Mg-Hornblende
58,Pilet et al. (2010),6,1130,1500.0,4.619223333333333,,,,39.29,6.2,14.6,,10.04,0.16,11.69,10.84,2.59,2.03,,,1403.15,15.0,4.619223333333333,0.6539178483456494,0.29004565303691937,0.13974333992149873,0.1932987392785178,0.28638400957228743,0.08357669533228997,0.043102075481713464,0.0022555225058855043,0.07759893864677464,0.0,0.0,0.0,5.862932869238678,2.6005073834153674,1.2529185783133387,1.7330885446322586,2.5676776175991636,0.7493365648386797,0.38644697604364703,0.02022268863056595,0.6957408628028885,0.0,0.0,0.0,1.4499453120290149,5.862932869238678,2.137067130761322,0.0,0.0,0.0,2.6005073834153674,1.2529185783133387,0.02022268863056595,1.7330885446322586,0.2669114553677414,0.4824251094709383,0.38644697604364703,0.43061048683784175,0.6957408628028885,46.28698571182914,97.44,1.8960823311148656,0.0,1.2529185783133387,0.0,10.04,-0.0,99.33608233111488,,,True,0.6748559357940122,0.6748559357940122,0.2669114553677414,2.0,0.8688720855145853,N/A,kaersutite
59,Pilet et al. (2010),7,1100,1500.0,5.22,,,,38.76,5.45,15.87,,11.3,0.21,10.88,10.66,2.66,2.01,,,1373.15,15.0,5.22,0.6450968643898541,0.2699483922191346,0.15728085070845976,0.1900889816152214,0.3112954953364522,0.08583552493586538,0.042677424491745844,0.002960373288974724,0.06821197026208416,0.0,0.0,0.0,5.764568418053206,2.4122516511725545,1.4054574976365175,1.6986300825929663,2.7817282646320116,0.7670239672615747,0.38136432986952484,0.026453816952610173,0.6095403515531009,0.0,0.0,0.0,1.4547939462049595,5.764568418053206,2.235431581946794,0.0,0.0,0.0,2.4122516511725545,1.4054574976365175,0.026453816952610173,1.6986300825929663,0.30136991740703367,0.46565404985454106,0.38136432986952484,0.5462966826852176,0.6095403515531009,46.07559426616166,97.79999999999998,1.9024228527295624,0.0,1.4054574976365175,0.0,11.3,-0.0,99.70242285272954,,,True,0.6318584148624974,0.6318584148624974,0.30136991740703367,2.0,0.8470183797240659,N/A,kaersutite
60,Krawczynski et al. (2012),41c-103b,945,489.0,5.95118341290906,,,,45.3,1.78,12.38,0.16,7.6,0.07,16.9,11.3,2.4,0.27,,,1218.15,4.89,5.95118341290906,0.7539444777311762,0.4193132195315601,0.10578181109595523,0.201501453306942,0.24283794784280266,0.07744558640829959,0.0057327883645628755,0.0009867910963249082,0.022278404966332075,0.002105398900718599,0.0,0.0,6.334652160735473,3.5230755985159314,0.8887802723112852,1.6930180593978454,2.0403278708799917,0.6506989118841774,0.04816696888595797,0.008291032742013043,0.18718347348653802,0.017689591328769634,0.0,0.0,1.5472480511648696,6.334652160735473,1.665347839264527,0.0,0.017689591328769634,0.8134092697813813,3.5230755985159314,0.07537100252990392,0.008291032742013043,1.6930180593978454,0.30698194060215456,0.34371697128202283,0.04816696888595797,0.3749800316154648,0.18718347348653802,45.18659073021862,98.16,2.023324374600214,0.8134092697813813,0.07537100252990392,7.729940558060818,0.6445008255388529,-0.0,100.95776575819988,,,True,0.9790545724624624,0.7985473011055911,0.30698194060215456,2.0,0.3918839401679808,N/A,Tschermakitic pargasite
61,Krawczynski et al. (2012),41c-118,975,500.0,6.0490337539755075,3.0,-7.52751323195789,,44.0,1.44,11.96,0.26,8.7,0.13,16.7,11.43,2.3,0.27,,,1248.15,5.0,6.0490337539755075,0.7323081019905465,0.41435093290988484,0.12109233638615927,0.20381961161932274,0.23459950373181904,0.07421868697462043,0.0057327883645628755,0.001832612036031972,0.01802297929860572,0.0034212732136677236,0.0,0.0,6.240057832575086,3.530718528596176,1.0318378017085283,1.7367637480187068,1.9990417514168968,0.6324235628699864,0.048849563236496446,0.015615838549960914,0.1535752954704509,0.029152951682900014,0.0,0.0,1.525627739566715,6.240057832575086,1.7599421674249136,0.0,0.029152951682900014,1.0297384186652323,3.530718528596176,0.0020993830432960436,0.015615838549960914,1.7367637480187068,0.2632362519812932,0.36918731088869317,0.048849563236496446,0.23909958399198317,0.1535752954704509,44.97026158133477,97.18999999999998,1.9950516594333967,1.0297384186652323,0.0020993830432960436,9.649006197532717,0.0177010693409689,-0.0,100.15175892630707,,,True,0.9994057483018359,0.7738465616621508,0.2632362519812932,2.0,0.41803687412518964,N/A,Tschermakitic pargasite
62,Blatter et al. (2013),2359,1035,900.0,4.1,,,,40.4,3.03,15.3,0.08,12.1,0.15,13.6,10.3,2.94,0.34,,,1308.15,9.0,4.1,0.6723919845549563,0.33743549027391817,0.16841577819224451,0.18366946628862854,0.30011474975726016,0.09487084335016699,0.007219066829449547,0.00211455234926766,0.03792335227414954,0.0010526994503592996,0.0,0.0,5.75280780132694,2.8870087173588517,1.4409208094474302,1.571427326323843,2.567702342316868,0.8116898182606149,0.061764424515330534,0.01809155006395969,0.3244621616951562,0.009006617790793415,0.0,0.0,1.5194486068521558,5.75280780132694,2.2471921986730603,0.0,0.009006617790793415,1.2524422184245125,2.8870087173588517,0.18847859102291764,0.01809155006395969,1.571427326323843,0.42857267367615703,0.3831171445844579,0.061764424515330534,0.3205101436438076,0.3244621616951562,44.74755778157549,98.24,1.9869712551143575,1.2524422184245125,0.18847859102291764,11.688285375470459,1.5827316368981255,-0.0,101.39798826748294,,,True,0.9387158612200258,0.6670646320549651,0.42857267367615703,2.0,0.44488156909978843,N/A,Tschermakitic pargasite
63,Blatter et al. (2013),2358,995,900.0,5.92018018018018,,,,40.6,2.67,15.0,0.08,12.7,0.18,13.0,10.1,2.78,0.26,,,1268.15,9.0,5.92018018018018,0.6757206577458225,0.3225486304088924,0.17676697380508308,0.18010306888496586,0.29423014682084325,0.08970780425628035,0.005520462869579065,0.002537462819121192,0.03341760744949811,0.0010526994503592996,0.0,0.0,5.8318523122036705,2.7837775188394493,1.5255991852393425,1.5543915768620122,2.5393729529911924,0.7742292020787892,0.04764472386827546,0.021899742503342545,0.2884128952381062,0.009085392984896306,0.0,0.0,1.5062741784996199,5.8318523122036705,2.1681476877963295,0.0,0.009085392984896306,1.280354159469269,2.7837775188394493,0.24524502577007357,0.021899742503342545,1.5543915768620122,0.44560842313798776,0.32862077894080144,0.04764472386827546,0.3712252651948629,0.2884128952381062,44.71964584053073,97.37,1.969743156499503,1.280354159469269,0.24524502577007357,11.845168429088172,2.041566262891849,-0.0,100.52647784847953,,,True,0.9190349288728424,0.645981474816213,0.44560842313798776,2.0,0.3762655028090769,N/A,Tschermakitic pargasite
64,Almeev et al. (2013),AB86,990,701.0,5.21,2.424584510065235,-7.8,,41.8,2.13,13.8,,11.1,0.16,14.8,11.0,2.37,0.44,,,1263.15,7.01,5.21,0.6956926968910192,0.36720921000396983,0.15449711883751355,0.19615185720144795,0.2706917350751758,0.07647751657819585,0.009342321779287649,0.0022555225058855043,0.026658990212520963,0.0,0.0,0.0,5.96174925520306,3.146804967233704,1.3239654336990285,1.6809263541264656,2.3196969828574407,0.6553752533803902,0.08005917003073035,0.019328734769890943,0.22845462623687662,0.0,0.0,0.0,1.5170052735260848,5.96174925520306,2.0382507447969402,0.0,0.0,1.202608122598626,3.146804967233704,0.12135731110040249,0.019328734769890943,1.6809263541264656,0.3190736458735344,0.3363016075068558,0.08005917003073035,0.2814462380605005,0.22845462623687662,44.797391877401374,97.6,1.9837761269187264,1.202608122598626,0.12135731110040249,11.205166542685435,1.0174481288766715,-0.0,100.70639079848083,,,True,0.9628668037982917,0.7038619041087839,0.3190736458735344,2.0,0.41636077753758616,N/A,Tschermakitic pargasite
65,Almeev et al. (2013),AB87,990,701.0,5.23,2.424584510065235,-7.8,,42.18,2.0,13.73,,11.0,0.17,14.74,11.11,2.23,0.41,,,1263.15,7.01,5.23,0.7020171759536649,0.36572052401746724,0.15310525290204047,0.1981133757734624,0.26931866105667857,0.07195985737104503,0.008705345294336218,0.0023964926625033483,0.02503191569250795,0.0,0.0,0.0,6.013628946806944,3.1328400572039645,1.311532270573218,1.697081456279881,2.3070411259462222,0.6164234952040226,0.07457184560029226,0.020528867582852113,0.21442873188679984,0.0,0.0,0.0,1.5175900222848624,6.013628946806944,1.9863710531930563,0.0,0.0,1.1516852633022197,3.1328400572039645,0.15984700727099832,0.020528867582852113,1.697081456279881,0.30291854372011895,0.31350495148390367,0.07457184560029226,0.32067007275316595,0.21442873188679984,44.84831473669778,97.57,1.9845407983725125,1.1516852633022197,0.15984700727099832,10.734834785003635,1.3406586474707878,-0.0,100.63003423084693,,,True,0.9514539328697224,0.7049004507619255,0.30291854372011895,2.0,0.38807679708419596,N/A,Tschermakitic pargasite
66,Andujar et al. (2015),s0968-54,975,400.0,6.4,,,,41.940000000000005,2.668333333333333,12.515,,12.040000000000001,0.18666666666666665,13.393333333333333,10.723333333333331,2.4699999999999998,0.29833333333333334,,,1248.15,4.0,6.4,0.6980227681246256,0.33230779409818706,0.16758065863096067,0.19121834079304786,0.24548601916419024,0.07970441601187499,0.006334377267017004,0.002631442923533088,0.03339674751975435,0.0,0.0,0.0,6.133662298065929,2.9200534439438117,1.4725639544557965,1.680272881029627,2.1571335624124655,0.700378259572924,0.0556614093388588,0.0231230025532714,0.29346373856872676,0.0,0.0,0.0,1.4794254304612509,6.133662298065929,1.8663377019340706,0.0,0.0,0.8720289333471811,2.9200534439438117,0.6005350211086153,0.0231230025532714,1.680272881029627,0.319727118970373,0.380651140602551,0.0556614093388588,0.2907958604783949,0.29346373856872676,45.12797106665282,96.235,1.9346332552185588,0.8720289333471811,0.6005350211086153,7.923755514024718,4.9101036544248595,-0.0,98.96349242366813,,,True,0.8294219767320427,0.6647638933925123,0.319727118970373,2.0,0.4363125499414098,N/A,Tschermakitic pargasite
67,Riker et al. (2015),DSB6,885,200.0,6.52,,,,45.18,1.5,9.48,,13.02,0.21,14.65,10.31,1.92,0.24,,,1158.15,2.0,6.52,0.7519472738166566,0.3634874950377134,0.181220944798597,0.18384778615881167,0.18595345279077297,0.061956469126639664,0.005095811879611445,0.002960373288974724,0.018773936769380963,0.0,0.0,0.0,6.498060258383363,3.1411293426669045,1.5660467966129932,1.5887470231345282,1.606943443462116,0.5354057176617095,0.044036189520350204,0.025582490540096946,0.1622376683345245,0.0,0.0,0.0,1.5043434765020958,6.498060258383363,1.5019397416166367,0.0,0.0,1.3155247496510043,3.1411293426669045,0.2505220469619889,0.025582490540096946,1.5887470231345282,0.4112529768654718,0.12415274079623773,0.044036189520350204,0.10500370184547925,0.1622376683345245,44.684475250348996,96.50999999999999,1.9672183923488946,1.3155247496510043,0.2505220469619889,12.154948489155938,2.0828222109962664,-0.0,99.6949890925011,,,True,0.9261356731036557,0.667306523003287,0.4112529768654718,2.0,0.16818893031658794,N/A,Tschermakitic pargasite
68,Iacovino et al. (2016),KI-04-31,1000,400.0,2.72,2.7,-7.483806687775695,,39.940999999999995,4.866042857142857,11.911857142857144,0.057428571428571426,10.92307142857143,0.15535714285714283,14.150685714285716,11.567000000000002,2.636071428571429,1.2059,,,1273.15,4.0,2.72,0.6647526795819185,0.3510987920376567,0.1520345103216801,0.2062625938408317,0.23365516507011788,0.0850633739999493,0.02560433144009767,0.002190072076027219,0.060903187278065256,0.0007556878197222114,0.0,0.0,5.89725894071237,3.114723045147546,1.3487525553943513,1.829829292944538,2.0728385963332903,0.7546276355950261,0.22714518819396712,0.01942891323022404,0.5402939720669304,0.006703977115289039,0.0,0.0,1.4653900941851878,5.89725894071237,2.0728385963332903,0.029902462954339626,0.006703977115289039,0.40392019131474655,3.114723045147546,0.9448323640796048,0.01942891323022404,1.829829292944538,0.1701707070554619,0.5844569285395642,0.22714518819396712,0.0,0.5103915091125908,45.59607980868525,97.41441428571429,1.9162793539344765,0.40392019131474655,0.9448323640796048,3.635431009656136,7.651864205625179,-0.0,99.69491742635863,,,True,0.7672571824165643,0.6978245931868423,0.1701707070554619,2.0,0.8116021167335313,N/A,kaersutite
69,Iacovino et al. (2016),KI-04-33,1000,400.0,4.3,3.2,-6.983806687775695,,40.134433333333334,4.3516,11.744666666666667,0.08836666666666666,10.639933333333333,0.13593333333333332,14.755166666666668,11.637633333333333,2.6146999999999996,1.2580333333333333,,,1273.15,4.0,4.3,0.6679720613363513,0.3660968307529443,0.14809360762371368,0.2075221265238919,0.23037566651301317,0.0843737394924087,0.026711255020613268,0.0019162543289585594,0.0544644421637588,0.001162794267876043,0.0,0.0,5.9069077939332635,3.2374111854057412,1.3095986130828963,1.8351277508900696,2.037222660684105,0.7461208757952004,0.2362088620163866,0.016945525548236997,0.48163157792214445,0.0102826434236137,0.0,0.0,1.4700816569866157,5.9069077939332635,2.037222660684105,0.05586954538263145,0.0102826434236137,0.5228307125897445,3.2374111854057412,0.7867679004931518,0.016945525548236997,1.8351277508900696,0.16487224910993037,0.58124862668527,0.2362088620163866,0.0,0.425762032539513,45.477169287410256,97.36046666666665,1.922414474520959,0.5228307125897445,0.7867679004931518,4.720735225359197,6.392155524926388,-0.0,99.75583855813987,,,True,0.8044898391202167,0.7119868504531948,0.16487224910993037,2.0,0.8174574887016566,N/A,Mg-hastingsite
70,Ulmer et al. (2018),ZP1060,1060,1000.0,,,,,42.28,1.94,15.32,0.15,7.51,0.11,15.61,11.15,2.4,0.71,,,1333.15,10.0,,0.7036815125490979,0.3873064708217546,0.10452913175402945,0.198826655254195,0.3005070566196879,0.07744558640829959,0.015075110143850523,0.0015506717227962842,0.02428095822173271,0.0019738114694236868,0.0,0.0,6.003203759885608,3.3041647682948825,0.8917523987381784,1.696217540323943,2.5636670283356304,0.6606989486318369,0.12860783789589575,0.013228993728877352,0.20714419391565417,0.016838857101170265,0.0,0.0,1.5238296131585225,6.003203759885608,1.9967962401143922,0.0,0.016838857101170265,0.8170563397850543,3.3041647682948825,0.07469605895312403,0.013228993728877352,1.696217540323943,0.303782459676057,0.3569164889557799,0.12860783789589575,0.5668707882212383,0.20714419391565417,45.182943660214946,97.18,1.9927002633611448,0.8170563397850543,0.07469605895312403,7.647077750141144,0.6290618377160805,-0.0,99.93883985121838,,,True,0.9778931235193957,0.7874714005927963,0.303782459676057,2.0,0.4855243268516756,N/A,Tschermakitic pargasite
71,Ulmer et al. (2018),rk70,1020,1000.0,,,,,41.59,1.86,15.72,,10.32,0.24,14.02,11.13,2.47,0.42,,,1293.15,10.0,,0.6921975900406099,0.34785629217943626,0.1436405645408234,0.19847001551382873,0.3083531938682438,0.079704416011875,0.008917670789320029,0.0033832837588282563,0.023279681594032393,0.0,0.0,0.0,5.925137175630375,2.977612575115147,1.229547835957411,1.6988820592396638,2.6394702878204224,0.6822612577229038,0.07633430609131887,0.02896054632892277,0.1992715791477216,0.0,0.0,0.0,1.518710605981974,5.925137175630375,2.0748628243696254,0.0,0.0,0.9553525203298392,2.977612575115147,0.2741953156275718,0.02896054632892277,1.6988820592396638,0.30111794076033616,0.38114331696256765,0.07633430609131887,0.5646074634507969,0.1992715791477216,45.04464747967016,97.77,1.9860061770533504,0.9553525203298392,0.2741953156275718,8.91139659517989,2.301411603943936,-0.0,100.64881437617717,,,True,0.9156791160978008,0.7077487626282463,0.30111794076033616,2.0,0.4574776230538865,N/A,Tschermakitic pargasite
