,Sample I.D.,XAn,XAb,"T
100,TEQ34_800C_200MPa_48h,0.27328964110415654,0.6785243256750835,800,2000,4.2296145611864615,68.85664969269402,0.38807125842201196,16.629402792191613,2.4367419292972197,0.20089153685251998,1.1869592570884706,5.5504711308035475,4.611113202237624,5.932709795458834,93.0,Waters et al. (in review),1073.15,2.0
101,TEQ34_800C_250MPa_48h,0.29509271460471115,0.6833564636264471,800,2500,4.126185139011915,69.54915722828537,0.30607085850447163,16.31968045701368,1.9411930928614523,0.24407157640697438,1.4169562461336367,5.457525374798567,4.589596523518945,6.725623825406837,93.5,Waters et al. (in review),1073.15,2.5
102,MLV44_750_200_48,0.273,0.661,750,2000,4.82,75.91059905075934,0.13838882489106116,13.501621062384665,0.8012715876073259,0.0798094367517501,0.880906131510095,3.8296675792186883,4.819026709635896,6.090743899132131,93.6,Waters et al. (in review),1023.15,2.0
103,MLV44_750_200_96,0.275,0.659,750,2000,4.83,76.89025578826535,0.11695653115592035,13.826861016655473,1.1435749713023324,0.11912239284399298,0.9183253557427822,3.5411838599987004,4.884018106603711,6.047601693855534,92.3,Waters et al. (in review),1023.15,2.0
104,MLV44_800_100_72,0.245,0.65,800,1000,5.03,75.712967303641,0.16806735923472788,13.088517925697584,1.1402095972945434,0.14796122192818384,0.8523191090723826,4.049588664128289,4.804211894538848,4.108438939258712,95.2,Waters et al. (in review),1073.15,1.0
105,MLV36_900_50_48,0.337,0.544,900,500,4.94,73.7810074423716,0.25002116342822084,13.821721139147197,1.6848319038378428,0.2436651656662011,1.2482101686857647,4.261296926475509,4.588556472064415,2.586393298341146,97.8,Waters et al. (in review),1173.15,0.5
106,MLV36_750_220_48,0.424,0.542,750,2200,4.98,76.86285265117421,0.1384033732140606,14.084967547952825,0.7984337382212084,0.12337288469468091,1.1769385561483436,3.022946039089404,3.755101213523512,6.197027048502511,92.9,Waters et al. (in review),1023.15,2.2
107,#16,0.7627416994886187,0.23606805005569612,1220,1,2.6890607513438756,50.77,1.31,15.04,8.4,8.74,12.27,1.65,0.07,0.0,98.25,Aigner-Torres et al. (2007),1493.15,0.001
108,#17,0.7569685064912761,0.24124794359105736,1200,1,2.8538480396243284,51.35,1.5,13.86,8.9,8.88,12.29,1.44,0.07,0.0,98.28999999999999,Aigner-Torres et al. (2007),1473.15,0.001
109,#28,0.7353732826787498,0.2634435081380379,1180,1,2.9952316642695003,49.81,1.42,14.51,9.63,8.68,12.18,2.21,0.08,0.0,98.52000000000001,Aigner-Torres et al. (2007),1453.15,0.001
110,#33,0.7674959440339363,0.2307180851079347,1200,1,2.8321067605868655,49.76,1.32,15.4,8.9,8.69,12.13,2.37,0.1,0.0,98.67,Aigner-Torres et al. (2007),1473.15,0.001
111,#36,0.7347204417582803,0.26407708746752023,1180,1,3.074970005254816,51.93,1.71,13.54,8.42,9.34,11.28,2.49,0.1,0.0,98.81,Aigner-Torres et al. (2007),1453.15,0.001
112,#29,0.7550226713042973,0.24378029752456448,1220,1,2.5817508282694703,50.41,1.4,14.2,8.82,9.58,12.06,2.31,0.09,0.0,98.86999999999999,Aigner-Torres et al. (2007),1493.15,0.001
113,#31,0.7726166455234142,0.22558780716939242,1200,1,2.798123239552852,49.97,1.32,15.26,9.04,9.48,12.1,2.3,0.08,0.0,99.55,Aigner-Torres et al. (2007),1473.15,0.001
114,#35,0.7662182362259327,0.2319929393653819,1180,1,3.080671080029252,51.78,1.41,14.82,8.71,9.31,12.3,1.49,0.08,0.0,99.89999999999999,Aigner-Torres et al. (2007),1453.15,0.001
115,#25,0.758466547346185,0.24034441924671282,1180,1,2.964949177837695,50.64,1.47,14.14,9.72,9.73,12.08,2.14,0.09,0.0,100.01,Aigner-Torres et al. (2007),1453.15,0.001
116,#F1,0.8302795530072762,0.16972044699272382,1244,1,,47.8,0.55,18.6,8.4,10.4,11.71,2.29,0.09,0.0,99.84000000000002,Bartels et al. (1991),1517.15,0.001
117,#F4,0.8275583957035385,0.17244160429646152,1238,1,,48.6,0.65,17.6,8.83,9.89,11.7,2.32,0.1,0.0,99.68999999999998,Bartels et al. (1991),1511.15,0.001
118,#F3,0.7764379522205009,0.22117632238759274,1229,1,,48.9,0.68,17.2,8.93,9.39,11.7,2.54,0.12,0.0,99.46000000000002,Bartels et al. (1991),1502.15,0.001
119,Blundy 1997,0.732,0.262,1208,1,3.121966022059918,49.52,,19.21,8.29,8.03,8.86,3.88,0.96,0.0,98.75,Blundy (1997),1481.15,0.001
120,816-3-12,0.65,0.35,1190,1,4.481459092818278,67.8,0.48,15.8,3.45,1.91,4.68,4.72,1.17,0.0,100.01,Brugger et al. (2003),1463.15,0.001
121,816-3-11,0.66,0.34,1150,1,4.9170105712464895,69.6,0.64,14.3,4.11,2.25,3.92,3.85,1.34,0.0,100.00999999999999,Brugger et al. (2003),1423.15,0.001
122,Natural B-27,0.62,0.37,1190,1,4.014773399473681,62.4,0.67,16.2,5.28,3.43,6.42,4.51,1.15,0.0,100.06000000000002,Brugger et al. (2003),1463.15,0.001
123,#79-38b-1,0.7161289331994809,0.2748002003864868,1177,1,3.513853555727834,52.5,0.87,15.9,11.7,5.89,7.91,2.9,1.1,0.0,98.77,Grove et al. (1982),1450.15,0.001
124,#79-38b-10,0.6064696521731144,0.3794556102390904,1166,1,3.7789809673835966,55.8,1.16,15.1,8.88,5.5,7.96,2.9,1.1,0.0,98.39999999999998,Grove et al. (1982),1439.15,0.001
125,#79-35g-10,0.8137346368013053,0.18566357685176804,1210,1,2.706142235339365,47.3,0.75,15.8,12.5,8.7,11.4,1.76,0.06,0.0,98.27000000000001,Grove et al. (1982),1483.15,0.001
126,#79-9c-3,0.5310044200413984,0.45553116086944706,1122,1,4.680782960244328,59.7,1.53,15.4,8.78,3.45,5.62,2.58,1.39,0.0,98.45000000000002,Grove et al. (1982),1395.15,0.001
127,#79-38b-11,0.735668478277328,0.2554538905950486,1185,1,3.4861939865433023,53.0,0.91,16.6,10.2,5.95,8.36,2.77,0.93,0.0,98.72,Grove et al. (1982),1458.15,0.001
128,#79-9c-7,0.5106817835865622,0.47776536010601395,1085,1,5.145158086347774,60.8,1.95,13.7,11.3,2.55,5.01,1.67,1.67,0.0,98.65,Grove et al. (1982),1358.15,0.001
129,#79-20e-4,0.5097383829521845,0.4755305052634619,1139,1,3.970225998793844,55.1,1.55,14.3,10.9,4.79,7.86,3.44,0.91,0.0,98.85000000000001,Grove et al. (1982),1412.15,0.001
130,#79-35g-3,0.7819058860003364,0.2180941139996636,1200,1,2.8774590703909992,49.5,0.86,15.3,11.5,8.23,11.6,1.67,0.11,0.0,98.77,Grove et al. (1982),1473.15,0.001
131,#79-38b-2,0.64425936903785,0.34607650885086577,1160,1,3.957793533016371,57.9,1.16,14.8,8.89,5.64,7.6,2.04,1.02,0.0,99.05,Grove et al. (1982),1433.15,0.001
132,#79-9c-6,0.5653728261676034,0.4267432810639022,1130,1,4.591237554400976,59.6,1.43,15.6,9.89,3.13,5.44,2.56,1.36,0.0,99.00999999999999,Grove et al. (1982),1403.15,0.001
133,#79-35g-12,0.876,0.122,1228,1,2.5496741103353058,47.9,0.72,16.5,10.9,9.92,11.7,1.35,0.08,0.0,99.07000000000001,Grove et al. (1982),1501.15,0.001
134,#79-38b-4,0.6664043769655019,0.32157355145169736,1153,1,3.958979924242553,56.3,1.12,15.3,10.1,5.58,7.55,2.29,1.0,0.0,99.24,Grove et al. (1982),1426.15,0.001
135,#79-20e-1,0.5854399762654953,0.4038360825823309,1166,1,3.7054949717736254,54.3,1.21,15.7,10.9,5.71,7.81,3.0,0.69,0.0,99.32,Grove et al. (1982),1439.15,0.001
136,#79-35g-11,0.872,0.122,1218,1,2.715771918065199,49.1,0.75,16.6,10.8,9.03,11.7,1.53,0.06,0.0,99.57000000000001,Grove et al. (1982),1491.15,0.001
137,#79-20e-5,0.5620896793902301,0.42665737621339883,1130,1,4.0932071685279,55.7,1.69,14.5,11.6,4.41,7.84,3.29,0.93,0.0,99.96000000000001,Grove et al. (1982),1403.15,0.001
138,#79-20e-9,0.5968957522050191,0.39244380727053135,1145,1,3.9046856161912586,53.7,1.31,15.4,13.4,4.2,7.67,3.01,0.74,0.0,99.43000000000002,Grove et al. (1982),1418.15,0.001
139,ALV-528-1-1 #3,0.8032451450073421,0.19380304428861542,1196,1,2.8173657885491763,49.9,1.02,14.5,10.7,8.15,12.9,1.66,0.12,0.0,98.95000000000002,Grove & Bryan (1983),1469.15,0.001
140,ALV-525-4B #3,0.7825096930365829,0.21749030696341703,1196,1,2.8853583455508804,50.5,1.07,14.4,9.77,8.34,12.3,1.8,0.09,0.0,98.27,Grove & Bryan (1983),1469.15,0.001
141,AII-32-12-6 #8,0.7592144140928032,0.233553895324183,1193,1,3.0666687777837445,53.1,1.41,14.3,7.87,8.13,11.8,1.69,0.41,0.0,98.71,Grove & Bryan (1983),1466.15,0.001
142,AII-32-12-6 #10,0.7487762958340504,0.24333939748111774,1181,1,3.1591742199396426,52.1,1.36,14.3,9.46,7.8,11.5,1.76,0.41,0.0,98.69,Grove & Bryan (1983),1454.15,0.001
143,AII-96-6-42 #9,0.7577901168921339,0.23860082119432346,1201,1,2.996786532541218,50.8,1.27,15.9,9.58,7.33,11.0,2.56,0.25,0.0,98.69,Grove & Bryan (1983),1474.15,0.001
144,AII-96-6-42 #10,0.7342963257252285,0.2621106913447261,1181,1,3.1990315195595116,51.9,1.5,14.7,9.52,7.68,11.0,2.04,0.23,0.0,98.57,Grove & Bryan (1983),1454.15,0.001
145,AII-96-6-42 #3,0.6933564467950859,0.30254509142405295,1174,1,3.213398217746795,51.6,1.74,14.1,10.0,7.39,11.4,2.01,0.21,0.0,98.45,Grove & Bryan (1983),1447.15,0.001
146,AII-96-6-42 #1,0.6899229831399675,0.3052801746063149,1166,1,3.3644369281212785,52.0,2.33,13.9,10.2,6.81,11.0,1.79,0.3,0.0,98.33000000000001,Grove & Bryan (1983),1439.15,0.001
147,#3,0.6207690398649344,0.37014340871034496,1200,1,3.475957170887905,56.7,0.74,16.4,5.51,6.22,8.73,3.65,0.79,0.0,98.74000000000002,Grove et al. (2003),1473.15,0.001
148,#139,0.626,0.337,1161,1,3.823971245454158,56.12,1.27,15.2,8.76,5.43,7.8,3.42,1.16,0.0,99.16,Grove & Juster (1989),1434.15,0.001
149,#147,0.651,0.351,1144,1,4.040407375776712,57.2,1.31,14.5,8.74,4.87,7.58,3.52,1.34,0.0,99.06,Grove & Juster (1989),1417.15,0.001
150,#157,0.643,0.311,1172,1,3.6939049268326842,55.1,1.03,15.8,8.45,6.27,7.54,3.5,1.07,0.0,98.76,Grove & Juster (1989),1445.15,0.001
151,#156,0.641,0.321,1162,1,3.778131680174409,55.3,1.14,15.2,9.02,6.01,7.45,3.54,1.15,0.0,98.81000000000002,Grove & Juster (1989),1435.15,0.001
152,#155,0.654,0.335,1151,1,3.8863708518787385,55.7,1.3,14.3,9.43,5.42,7.44,3.57,1.28,0.0,98.43999999999998,Grove & Juster (1989),1424.15,0.001
153,#39,0.58,0.386,1144,1,4.2754181030448075,59.2,1.1,15.3,7.52,4.25,6.15,3.96,1.55,0.0,99.03,Grove & Juster (1989),1417.15,0.001
154,#38,0.561,0.392,1136,1,4.395205587540076,60.2,1.13,14.9,7.53,3.89,5.8,4.23,1.68,0.0,99.36000000000001,Grove & Juster (1989),1409.15,0.001
155,#A-1,0.705,0.279,1149,1,3.550217663310555,51.6,2.05,12.8,10.6,6.34,10.6,2.06,0.08,0.0,96.13,Juster et al. (1989),1422.15,0.001
156,#A-18,0.661,0.301,1143,1,3.5501817516037812,51.9,2.11,12.8,13.5,6.03,10.4,2.29,0.1,0.0,99.13000000000001,Juster et al. (1989),1416.15,0.001
157,#A-6,0.648,0.316,1134,1,3.636697012791636,51.6,2.14,12.6,13.6,6.13,10.4,2.12,0.13,0.0,98.72,Juster et al. (1989),1407.15,0.001
158,#A-8,0.659,0.308,1128,1,3.748977639182095,51.9,2.44,12.4,14.6,5.23,9.89,2.42,0.12,0.0,99.0,Juster et al. (1989),1401.15,0.001
159,#A-10,0.64,0.323,1122,1,3.7744605899351673,51.1,2.5,12.2,15.1,5.21,9.9,2.41,0.16,0.0,98.57999999999998,Juster et al. (1989),1395.15,0.001
160,#A-22,0.69,0.287,1145,1,3.4795162783717757,51.7,2.14,12.4,14.1,6.75,10.1,2.32,0.11,0.0,99.61999999999999,Juster et al. (1989),1418.15,0.001
161,#A-23,0.666,0.299,1135,1,3.6039884068246337,51.0,2.26,12.2,14.7,5.95,9.93,2.26,0.14,0.0,98.44,Juster et al. (1989),1408.15,0.001
162,#A-25,0.651,0.312,1125,1,3.724248352387783,51.6,2.46,12.0,15.6,5.7,9.78,2.3,0.1,0.0,99.53999999999999,Juster et al. (1989),1398.15,0.001
163,Mahood and Baker (1986),0.71,0.29000000000000004,1174,1,3.1570586569707464,49.0,2.58,15.3,10.2,6.5,10.7,3.3,1.07,0.0,98.64999999999999,Mahood & Baker (1986),1447.15,0.001
164,#K-15 #15,0.615,0.353,1149,1,1.269700692566361,48.84,1.75,18.66,9.386735354989652,3.44,7.64,6.06,3.58,0.0,99.35673535498965,Sack et al. (1991),1422.15,0.001
165,#CSQ-3 #7,0.686,0.28,1203,1,1.3816600425541432,48.16,3.58,16.42,10.61374606316926,6.12,9.94,3.58,1.43,0.0,99.84374606316926,Sack et al. (1991),1476.15,0.001
166,#TB-253 #7A,0.662,0.308,1203,1,1.419743029357694,49.08,2.38,16.91,10.872744533429316,5.61,9.04,3.69,1.76,0.0,99.34274453342933,Sack et al. (1991),1476.15,0.001
167,#TB-253 #2A,0.588,0.376,1176,1,1.4865827993850285,49.27,2.7,15.7,10.07275983082876,5.48,9.41,4.27,1.85,0.0,98.75275983082875,Sack et al. (1991),1449.15,0.001
168,#PRT #5A,0.521,0.466,1145,1,1.2292378085457998,54.87,3.54,14.09,9.831727706289932,4.0,7.2,4.5,1.59,0.0,99.62172770628995,Sack et al. (1991),1418.15,0.001
169,#FG-519 #8A,0.784,0.204,1235,1,1.5835645555986995,49.84,0.93,15.85,9.57679654458742,8.6,12.72,2.14,0.31,0.0,99.96679654458742,Sack et al. (1991),1508.15,0.001
170,#COL-11/10 #7A,0.599,0.366,1203,1,1.7018836359324157,57.25,0.78,16.8,6.919831728606137,5.31,7.36,4.07,1.13,0.0,99.61983172860613,Sack et al. (1991),1476.15,0.001
171,#4-3-75,0.68,0.298,1179,1,3.2397658694947578,49.3,2.55,14.9,13.73041,5.71,9.14,2.65,0.68,0.0,98.66041000000001,Snyder et al. (1993),1452.15,0.001
172,#4-3-77,0.653,0.336,1157,1,3.4467743690347037,48.9,2.62,13.9,14.34295,5.54,9.1,3.04,0.78,0.0,98.22295000000001,Snyder et al. (1993),1430.15,0.001
173,#4-83C-72,0.594,0.39,1150,1,3.5524820055434443,48.0,4.03,13.8,17.44728,4.3,7.51,3.06,1.2,0.0,99.34728,Snyder et al. (1993),1423.15,0.001
174,Thy et al. (2006),0.579,0.42100000000000004,1154,1,3.247406076465429,47.52,2.96,13.33,15.41,5.97,10.44,2.52,0.43,0.0,98.58,Thy et al. (2006),1427.15,0.001
175,Thy et al. (2006),0.613,0.387,1106,1,4.002162394297995,48.45,5.17,11.33,16.91,4.49,9.02,2.55,0.67,0.0,98.58999999999999,Thy et al. (2006),1379.15,0.001
176,Thy et al. (2006),0.609,0.391,1144,1,3.357806780496643,47.68,3.1,12.94,15.87,5.81,10.44,2.37,0.45,0.0,98.66000000000001,Thy et al. (2006),1417.15,0.001
177,Thy et al. (2006),0.601,0.399,1126,1,3.6973090954310184,48.15,4.71,12.11,16.2,5.05,9.36,2.61,0.57,0.0,98.75999999999999,Thy et al. (2006),1399.15,0.001
178,Thy et al. (2006),0.619,0.381,1117,1,3.81796909782238,48.18,5.2,11.56,16.64,4.78,9.4,2.54,0.58,0.0,98.88000000000001,Thy et al. (2006),1390.15,0.001
179,Thy et al. (2006),0.624,0.376,1135,1,3.5805584563202193,48.13,4.42,12.58,15.81,5.41,9.4,2.59,0.54,0.0,98.88000000000002,Thy et al. (2006),1408.15,0.001
180,Thy et al. (2006),0.696,0.30400000000000005,1163,1,3.1348614676435744,48.57,2.41,13.51,14.0,6.39,11.52,1.92,0.81,0.0,99.13000000000001,Thy et al. (2006),1436.15,0.001
181,Thy et al. (2006),0.73,0.27,1173,1,3.007205138624199,48.49,2.32,13.62,13.81,6.78,11.59,2.25,0.37,0.0,99.23000000000002,Thy et al. (2006),1446.15,0.001
182,Thy et al. (2006),0.7020000000000001,0.29799999999999993,1173,1,3.01137623376536,48.49,2.33,13.72,13.71,6.65,11.74,1.92,0.75,0.0,99.31,Thy et al. (2006),1446.15,0.001
183,Thy et al. (2006),0.599,0.401,1163,1,3.1748422620504644,47.69,2.99,13.98,15.3,6.14,10.38,2.43,0.44,0.0,99.35,Thy et al. (2006),1436.15,0.001
184,Thy et al. (2006),0.665,0.33499999999999996,1138,1,3.494553211288682,48.6,4.39,12.01,16.87,5.08,9.76,2.48,0.59,0.0,99.78000000000002,Thy et al. (2006),1411.15,0.001
185,Thy et al. (2006),0.745,0.255,1201,1,2.7209627917749355,48.94,2.0,14.43,12.5,7.58,12.17,2.06,0.27,0.0,99.95,Thy et al. (2006),1474.15,0.001
186,Thy et al. (2006),0.718,0.28200000000000003,1201,1,2.7354633679672986,49.88,1.69,14.57,10.89,7.99,12.64,2.24,0.25,0.0,100.14999999999999,Thy et al. (2006),1474.15,0.001
187,Toplis et al. (1994)- Fe-100,0.507,0.48,1072,1,4.359475015157083,47.56,4.72,9.61,16.29,4.23,9.73,2.45,0.65,0.0,95.24000000000002,Toplis et al. (1994),1345.15,0.001
188,Toplis and Carroll (1995)-Fe-16,0.706,0.29400000000000004,1148,1,3.3806422920585875,49.8,3.47,13.15,14.18,6.06,10.81,2.53,0.37,0.0,100.37,Toplis & Carroll (1995),1421.15,0.001
189,Toplis and Carroll (1995)-Fe-45,0.709,0.29100000000000004,1158,1,3.2671906903348424,48.5,3.25,13.79,13.59,6.5,10.5,2.55,0.32,0.0,98.99999999999999,Toplis & Carroll (1995),1431.15,0.001
190,Toplis and Carroll (1995)-Fe-36,0.706,0.29400000000000004,1158,1,3.214674693799899,49.2,0.38,12.32,14.79,5.46,10.9,2.7,0.43,0.0,96.18,Toplis & Carroll (1995),1431.15,0.001
191,#6,0.713,0.279,1205,1,2.853181073677173,50.6,1.57,15.0,9.73,7.6,11.1,3.29,0.13,0.0,99.02,Tormey et al. (1987),1478.15,0.001
192,#12,0.714,0.282,1195,1,2.956785189469576,50.7,1.67,15.1,9.6,7.76,11.3,2.87,0.13,0.0,99.13,Tormey et al. (1987),1468.15,0.001
193,#11,0.678,0.309,1187,1,3.0175780123609504,51.2,1.67,15.0,9.95,7.78,11.6,2.81,0.14,0.0,100.15,Tormey et al. (1987),1460.15,0.001
194,#14,0.681,0.305,1177,1,3.0906649894402953,50.3,1.83,14.1,10.6,7.24,11.4,2.85,0.16,0.0,98.47999999999998,Tormey et al. (1987),1450.15,0.001
195,#7,0.731,0.246,1230,1,2.6745471423247698,49.0,1.16,17.3,9.86,8.25,10.5,3.11,0.13,0.0,99.30999999999999,Tormey et al. (1987),1503.15,0.001
196,#5,0.732,0.256,1224,1,2.721329239870541,49.1,1.12,17.2,10.0,8.64,10.4,3.03,0.14,0.0,99.63000000000001,Tormey et al. (1987),1497.15,0.001
197,#1,0.724,0.274,1215,1,2.7432953052700677,48.2,1.19,16.4,10.5,8.39,10.5,3.15,0.13,0.0,98.46,Tormey et al. (1987),1488.15,0.001
198,TJ-37,0.6229584626995924,0.3583475873081946,1190,1,3.5901666139895534,54.1,3.34,16.1,8.54,4.47,6.96,3.39,1.15,0.0,98.04999999999998,Vander Auwera et al. (1998),1463.15,0.001
199,TJ-36,0.6206442366636394,0.3686287467774171,1175,1,3.5793529466137963,50.3,4.0,15.9,11.6,4.53,6.81,3.35,0.93,0.0,97.42,Vander Auwera et al. (1998),1448.15,0.001
200,TH-31,0.60361232463279,0.37871489309736855,1160,1,3.9443383569276604,55.3,3.04,14.9,8.24,4.8,6.76,3.52,1.03,0.0,97.58999999999999,Vander Auwera et al. (1998),1433.15,0.001
201,TJ-26,0.5361156760042075,0.36196640441712596,1148,1,3.933065089280649,53.1,3.52,14.8,10.7,5.04,6.71,3.56,1.1,0.0,98.53,Vander Auwera et al. (1998),1421.15,0.001
202,TJ-27,0.6024977941082067,0.3856449145540118,1140,1,3.931015668563642,49.9,4.21,15.6,13.1,4.65,6.63,3.69,0.96,0.0,98.73999999999998,Vander Auwera et al. (1998),1413.15,0.001
203,TJ-30,0.5491306053027096,0.43541536592650965,1110,1,4.326291206850495,50.2,4.3,14.3,13.7,4.64,6.2,3.34,1.15,0.0,97.83000000000001,Vander Auwera et al. (1998),1383.15,0.001
204,TJ-49,0.563186599260635,0.4205024790721569,1125,1,4.156845179296601,50.0,4.66,14.2,13.9,4.27,6.2,3.17,1.14,0.0,97.54,Vander Auwera et al. (1998),1398.15,0.001
205,WD-8A,0.667,0.323,1149,1,4.560737340853071,64.3,0.8,14.5,5.76,4.8,4.75,2.4,1.78,0.0,99.09,WD-8A,1422.15,0.001
206,Yang et al. (1996)-2004-3-1-50,0.7607943575827192,0.23803681340028504,1223,1,2.6445387903128834,49.7,1.18,16.4,8.78,9.0,11.8,2.53,0.1,0.0,99.49,Yang et al. (1996),1496.15,0.001
207,Yang et al. (1996)-2004-3-1-40,0.7692088467771443,0.2296244510197449,1213,1,2.7132938153530692,50.2,1.38,15.4,9.46,8.35,12.0,2.63,0.11,0.0,99.52999999999999,Yang et al. (1996),1486.15,0.001
208,Yang et al. (1996)-2004-3-1-20,0.7375672240052052,0.2606646142104376,1188,1,2.9185322408948426,50.2,1.58,14.2,9.84,7.71,12.3,2.64,0.14,0.0,98.61,Yang et al. (1996),1461.15,0.001
209,Yang et al. (1996)-67-032-110,0.7183980953979863,0.27691498279980575,1171,1,3.116714598704021,50.4,2.1,13.5,11.7,7.05,11.5,2.66,0.17,0.0,99.08,Yang et al. (1996),1444.15,0.001
210,Yang et al. (1996)-62-002-110,0.6779888042524401,0.3161188617058233,1160,1,3.259136875639123,50.4,2.27,13.3,11.9,6.71,11.2,2.73,0.19,0.0,98.7,Yang et al. (1996),1433.15,0.001
211,Yang et al. (1996)-RE-46-9,0.9018945189047842,0.09810548109521577,1225,1,2.475782849777616,50.0,0.55,15.2,8.52,10.1,14.1,1.14,0.01,0.0,99.61999999999999,Yang et al. (1996),1498.15,0.001
212,Yang et al. (1996)-RE-46-14,0.8765332433070318,0.12346675669296829,1207,1,2.637832996875867,50.1,0.58,14.8,9.17,9.43,14.1,1.42,0.02,0.0,99.62,Yang et al. (1996),1480.15,0.001
213,Yang et al. (1996)-RE-46-8,0.8689835090905647,0.12923259731732603,1198,1,2.783912269163323,51.2,0.8,14.0,10.1,8.81,13.4,1.46,0.03,0.0,99.8,Yang et al. (1996),1471.15,0.001
