,Reference,Sample,T_C,T_K,T_sd,P_kbar,P_sd,SiO2_Amp,TiO2_Amp,Al2O3_Amp,Cr2O3_Amp,FeOt_Amp,MnO_Amp,MgO_Amp,CaO_Amp,Na2O_Amp,K2O_Amp,F_Amp,Cl_Amp,Total,Altot,SiO2_Amp_cat_prop,MgO_Amp_cat_prop,FeOt_Amp_cat_prop,CaO_Amp_cat_prop,Al2O3_Amp_cat_prop,Na2O_Amp_cat_prop,K2O_Amp_cat_prop,MnO_Amp_cat_prop,TiO2_Amp_cat_prop,Cr2O3_Amp_cat_prop,F_Amp_cat_prop,Cl_Amp_cat_prop,Si_Amp_13_cat,Mg_Amp_13_cat,Fet_Amp_13_cat,Ca_Amp_13_cat,Al_Amp_13_cat,Na_Amp_13_cat,K_Amp_13_cat,Mn_Amp_13_cat,Ti_Amp_13_cat,Cr_Amp_13_cat,F_Amp_13_cat,Cl_Amp_13_cat,cation_sum_Si_Mg,Si_T,Al_IV_T,Ti_T,Cr_C,Fe3_C,Mg_C,Fe2_C,Mn_C,Ca_B,Na_B,Na_A,K_A,Al_VI_C,Ti_C,Charge,Sum_input,H2O_calc,Fe3_calc,Fe2_calc,Fe2O3_calc,FeO_calc,"O=F,Cl",Total_recalc,Total,Fail Msg,Input_Check,Mgno_Fe2,Mgno_FeT,Na_calc,B_Sum,A_Sum,class,classification
21,Johnson and Rutherford (1989),109,760,1033.15,15,2.5,0.02,45.42,1.43,8.5,,16.8,0.72,12.49,11.3,1.47,1.07,,,99.2,1.457,0.755941681645696,0.3098947995236205,0.23383347715948,0.201501453306942,0.1667304165318112,0.047435421675083494,0.022718827963267692,0.010149851276484769,0.017897819720143184,0.0,0.0,0.0,6.575833725793397,2.695732651914432,2.0340855685816424,1.7528336968634157,1.4503651839366825,0.4126342722221304,0.19762799004034043,0.08829217379625584,0.15569069597758933,0.0,0.0,0.0,1.4944480458572358,6.575833725793397,1.4241662742066028,0.0,0.0,0.9706563165320503,2.695732651914432,1.063429252049592,0.08829217379625584,1.7528336968634157,0.24716630313658428,0.16546796908554612,0.19762799004034043,0.026198909730079656,0.15569069597758933,45.02934368346795,99.19999999999999,1.9542782138133084,0.9706563165320503,1.063429252049592,8.909501372342222,8.783116949642757,-0.0,102.04689653579828,,Recalc Total>102,False,0.7171100156850895,0.5699442401893612,0.24716630313658428,2.0,0.36309595912588655,N/A,Mg-Hornblende
22,Johnson and Rutherford (1989),115,780,1053.15,15,3.0,0.02,46.64,1.46,8.76,,16.05,0.67,13.54,11.5,1.53,1.05,,,101.2,1.463,0.7762465881099794,0.3359468042874156,0.22339448264343179,0.20506785071060468,0.17183040574337247,0.049371561335290984,0.02229417697330007,0.009445000493395549,0.0182732984555308,0.0,0.0,0.0,6.573490449419183,2.844898957782397,1.89177191964866,1.736576467809339,1.4551117497650756,0.41809328618197683,0.18879382100535003,0.07998311553196627,0.1547438078527173,0.0,0.0,0.0,1.5351365797331256,6.573490449419183,1.4265095505808167,0.0,0.0,1.0083796928851143,2.844898957782397,0.8833922267635457,0.07998311553196627,1.736576467809339,0.26342353219066106,0.15466975399131577,0.18879382100535003,0.02860219918425888,0.1547438078527173,44.991620307114886,101.2,2.007486296574087,1.0083796928851143,0.8833922267635457,9.507759856863897,7.494796329458221,-0.0,104.16004248289622,,Recalc Total>102,False,0.763057072788393,0.6006114909392509,0.26342353219066106,2.0,0.3434635749966658,N/A,Mg-Hornblende
23,Johnson and Rutherford (1989),106,780,1053.15,15,5.0,0.02,42.89,1.54,11.23,,18.58,0.74,10.56,11.6,1.64,1.36,,,100.14,1.93,0.7138339657812396,0.26200873362445415,0.25860869081090104,0.206851049412436,0.22028030325320466,0.05292115071233805,0.028876267317798188,0.010431791589720456,0.019274575083231122,0.0,0.0,0.0,6.251417155299641,2.2945474308239944,2.2647714787226723,1.8115027595715743,1.9291097548497766,0.46345817837238384,0.2528845663626254,0.09135665158930556,0.16879752871460904,0.0,0.0,0.0,1.4844380601427511,6.251417155299641,1.7485828447003593,0.0,0.0,0.8911126132435783,2.2945474308239944,1.373658865479094,0.09135665158930556,1.8115027595715743,0.18849724042842575,0.2749609379439581,0.2528845663626254,0.18052691014941735,0.16879752871460904,45.10888738675642,100.13999999999999,1.9411882324943668,0.8911126132435783,1.373658865479094,8.12459580686628,11.269384995521165,-0.0,102.8951690348818,,Recalc Total>102,False,0.6255230064722634,0.5032653947543541,0.18849724042842575,2.0,0.5278455043065835,N/A,Mg-hastingsite
24,Johnson and Rutherford (1989),15a,782,1055.15,15,5.0,0.02,43.52,1.53,11.33,,12.29,0.37,14.85,11.21,2.08,1.06,,,98.24,1.919,0.7243192863324679,0.36844978165938863,0.1710603234696434,0.1998965744752938,0.2222418375653436,0.06711950822052631,0.02250650246828388,0.005215895794860228,0.01914941550476858,0.0,0.0,0.0,6.234059141794091,3.1711674298721313,1.47227913635134,1.7204665001133612,1.912787337444177,0.5776830628569437,0.19370858971966476,0.044892084852851184,0.16481486968541167,0.0,0.0,0.0,1.5104365403264721,6.234059141794091,1.7659408582059086,0.0,0.0,1.0771399867934903,3.1711674298721313,0.39513914955784957,0.044892084852851184,1.7204665001133612,0.2795334998866388,0.2981495629703049,0.19370858971966476,0.14684647923826843,0.16481486968541167,44.92286001320651,98.24,1.9751862450423099,1.0771399867934903,0.39513914955784957,9.99267412204077,3.2984642844976713,-0.0,101.21632465158073,,,True,0.8892021365081275,0.6829339768738313,0.2795334998866388,2.0,0.4918581526899697,N/A,Tschermakitic pargasite
25,Johnson and Rutherford (1989),17,740,1013.15,15,5.0,0.02,44.76,1.1,11.77,,7.82,0.41,17.86,11.29,1.83,0.65,,,97.49,1.963,0.7449570601158377,0.4431321953156014,0.10884391615399605,0.20132313343675884,0.230872588538755,0.05905225963632844,0.013801157173947663,0.005779776421331604,0.013767553630879373,0.0,0.0,0.0,6.258714861519969,3.722950227505013,0.9144460427197255,1.6914049878424962,1.9396630737084424,0.4961242396102061,0.1159496461411183,0.048558466683738664,0.11566732786311106,0.0,0.0,0.0,1.5473530901764012,6.258714861519969,1.7412851384800314,0.0,0.0,1.3166886860890799,3.722950227505013,-0.40224264336935434,0.048558466683738664,1.6914049878424962,0.30859501215750385,0.18752922745270223,0.1159496461411183,0.19837793522841096,0.11566732786311106,44.68331131391092,97.49,2.0234617333076015,1.3166886860890799,-0.40224264336935434,12.513523770088764,-3.439828403426584,-0.0,100.76715709996976,,unbalanced charge (Fe2<0),False,1.121131606194724,0.8028104588363312,0.30859501215750385,2.0,0.30347887359382053,N/A,Tschermakitic pargasite
26,Johnson and Rutherford (1989),129,762,1035.15,15,6.5,0.02,41.96,1.22,13.0,,20.38,0.68,8.81,11.59,1.52,1.57,,,100.73,2.241,0.6983556354437122,0.21858872568479557,0.28366227764941676,0.20667272954225288,0.25499946057806416,0.04904887139192307,0.0333351027124582,0.009585970650013393,0.015269468572429848,0.0,0.0,0.0,6.132292548096675,1.9194375266452064,2.49085134152376,1.8148026233961827,2.2391618432032723,0.4307003670674685,0.29271705070979,0.08417484358954327,0.13408189694154063,0.0,0.0,0.0,1.480461538578432,6.132292548096675,1.8677074519033248,0.0,0.0,0.8750666021506746,1.9194375266452064,1.6157847393730855,0.08417484358954327,1.8148026233961827,0.1851973766038173,0.2455029904636512,0.29271705070979,0.3714543912999475,0.13408189694154063,45.124933397849325,100.73,1.9359881658333342,0.8750666021506746,1.6157847393730855,7.956926209695652,13.220256239089313,-0.0,103.4631706146183,,Recalc Total>102,False,0.5429467745480857,0.4352180965964947,0.1851973766038173,2.0,0.5382200411734412,N/A,Mg-hastingsite
27,Johnson and Rutherford (1989),120,762,1035.15,15,6.5,0.02,39.75,1.21,13.46,,22.58,0.49,6.16,11.59,1.39,1.75,,,98.38,2.422,0.6615737966846414,0.15283842794759825,0.31428332822982485,0.20667272954225288,0.2640225184139034,0.04485390212814017,0.037156961622166786,0.006907537674274356,0.015144308993967308,0.0,0.0,0.0,6.079051616673893,1.404397660791321,2.887878244488401,1.899068852095311,2.42604305890825,0.41215233676520424,0.34142689561145767,0.0634717975174729,0.13915762162066175,0.0,0.0,0.0,1.4147699179442097,6.079051616673893,1.920948383326107,0.0,0.0,0.5858215279353587,1.404397660791321,2.302056716553042,0.0634717975174729,1.899068852095311,0.10093114790468904,0.3112211888605152,0.34142689561145767,0.5050946755821428,0.13915762162066175,45.41417847206464,98.38,1.8500837388501203,0.5858215279353587,2.302056716553042,5.090474152867395,17.9995263854956,-0.0,100.74008427721311,,Low Mg# (<54),False,0.37890596182046027,0.3271918422261344,0.10093114790468904,2.0,0.6526480844719729,N/A,low-Mg
28,Johnson and Rutherford (1989),119,850,1123.15,15,8.2,0.02,39.93,1.2,15.27,,20.56,0.48,7.11,11.25,1.53,1.87,,,99.2,2.692,0.664569602556421,0.17640928940055578,0.28616763633326836,0.20060985395602632,0.2995262894636184,0.049371561335290984,0.03970486756197251,0.0067665675176565125,0.015019149415504768,0.0,0.0,0.0,5.9645510218904745,1.5832836821267748,2.5683712603732394,1.8004851633477028,2.688265952927952,0.443112648369645,0.3563535068107231,0.06073033892443581,0.13479774375712478,0.0,0.0,0.0,1.4484585346870247,5.9645510218904745,2.0354489781095255,0.0,0.0,0.7126000339010758,1.5832836821267748,1.8557712264721635,0.06073033892443581,1.8004851633477028,0.1995148366522972,0.2435978117173478,0.3563535068107231,0.6528169748184265,0.13479774375712478,45.287399966098924,99.20000000000002,1.8941380838214938,0.7126000339010758,1.8557712264721635,6.339558273956893,14.855584550779858,-0.0,101.72928090855825,,Low Mg# (<54),False,0.4603833681654709,0.38136206020372304,0.1995148366522972,2.0,0.5999513185280709,N/A,low-Mg
29,Schmidt (1992),R31,700,973.15,15,2.5,0.02,47.59,1.11,6.67,,16.54,0.36,12.49,10.89,0.91,0.65,,,97.21,1.158,0.7920577857665935,0.3098947995236205,0.23021462572724993,0.1941903386294335,0.1308343386196683,0.029364784846480262,0.013801157173947663,0.005074925638242384,0.013892713209341913,0.0,0.0,0.0,6.948019766520204,2.7184319519667355,2.0194685272197304,1.7034594388320987,1.1476934981318803,0.2575911874352578,0.12106529923524785,0.04451781711103462,0.1218684390504165,0.0,0.0,0.0,1.4819691884847164,6.948019766520204,1.0519802334797959,0.0,0.0,0.926954726392168,2.7184319519667355,1.0925138008275623,0.04451781711103462,1.7034594388320987,0.2575911874352578,0.0,0.12106529923524785,0.0957132646520844,0.1218684390504165,45.07304527360783,97.21,1.9379597080184752,0.926954726392168,1.0925138008275623,8.437325231275885,8.947987067946881,-0.0,99.99327200724122,,Low B Cations,False,0.7133221326946207,0.5737629914154531,0.2575911874352578,1.9610506262673564,0.12106529923524785,N/A,Mg-Hornblende
30,Schmidt (1992),R30,690,963.15,15,3.5,0.02,46.11,1.17,7.66,0.05,16.51,0.43,11.38,11.4,1.13,0.76,,,96.6,1.346,0.767425604154184,0.28235410877332273,0.22979706594660804,0.20328465200877335,0.15025352830984395,0.036463963600574384,0.016136737618769575,0.006061716734567292,0.01464367068011715,0.0006579371564745623,0.0,0.0,6.874708264767168,2.529368468640436,2.058554966019867,1.8210529720406028,1.3459925851973287,0.32664939842256524,0.14455520232010188,0.05430172502484653,0.13118009525116672,0.005893895099184544,0.0,0.0,1.451193631755118,6.874708264767168,1.1252917352328318,0.0,0.005893895099184544,0.5230262548429536,2.529368468640436,1.5355287111769136,0.05430172502484653,1.8210529720406028,0.1789470279593972,0.14770237046316803,0.14455520232010188,0.2207008499644969,0.13118009525116672,45.476973745157046,96.60000000000001,1.8977147492182311,0.5230262548429536,1.5355287111769136,4.661824785407644,12.315230557358934,-0.0,98.96477009198482,,,True,0.6222466047109436,0.5513100871587919,0.1789470279593972,2.0,0.2922575727832699,N/A,Mg-Hornblende
31,Schmidt (1992),R29,680,953.15,15,4.5,0.02,46.0,0.76,9.19,0.04,17.57,0.24,10.23,10.85,1.36,0.95,,,97.19,1.608,0.7655948338992077,0.25382096069869,0.24455084486262282,0.19347705914870092,0.18026500328556996,0.043885832298036435,0.02017092202346197,0.0033832837588282563,0.009512127963153021,0.0005263497251796498,0.0,0.0,6.827914517990722,2.2636879793171385,2.1810129719922178,1.7255142832291934,1.6076833052157593,0.3913933300147093,0.1798932349423176,0.030173626143390284,0.08483337888503645,0.004694220455734813,0.0,0.0,1.4576534041932514,6.827914517990722,1.1720854820092779,0.0,0.004694220455734813,0.5398115491615627,2.2636879793171385,1.641201422830655,0.030173626143390284,1.7255142832291934,0.2744857167708066,0.1169076132439027,0.1798932349423176,0.43559782320648144,0.08483337888503645,45.46018845083844,97.19,1.9061621439450211,0.5398115491615627,1.641201422830655,4.8328524459750675,13.221337685486036,-0.0,99.58035227540613,,,True,0.5797060418848353,0.5093004015602631,0.2744857167708066,2.0,0.2968008481862203,N/A,Mg-Hornblende
32,Schmidt (1992),R28,665,938.15,15,6.0,0.02,45.44,0.78,10.86,,15.35,0.2,10.82,11.47,1.42,0.77,,,97.11,1.887,0.7562745489647825,0.268459706232632,0.21365142109512011,0.2045328911000553,0.21302262629829052,0.04582197195824392,0.016349063113753386,0.0028194031323568805,0.0097624471200781,0.0,0.0,0.0,6.715597859348972,2.3838795460790676,1.89719068044437,1.8162195825817093,1.8916070825336126,0.4068918320934547,0.14517708337451435,0.025035851948495697,0.08668897964548189,0.0,0.0,0.0,1.4639901528432602,6.715597859348972,1.2844021406510278,0.0,0.0,0.31931115884609085,2.3838795460790676,1.577879521598279,0.025035851948495697,1.8162195825817093,0.18378041741829065,0.22311141467516404,0.14517708337451435,0.6072049418825849,0.08668897964548189,45.68068884115391,97.10999999999999,1.914448661410417,0.31931115884609085,1.577879521598279,2.8711728856069323,12.766481991604842,-0.0,99.31210353862218,,,True,0.601722493810473,0.5568419623928859,0.18378041741829065,2.0,0.3682884980496784,N/A,Mg-Hornblende
33,Schmidt (1992),R12,655,928.15,15,7.5,0.05,44.9,1.23,13.37,,15.53,0.4,10.18,10.0,1.58,1.01,,,98.2,2.29,0.747287131349444,0.2525803890432711,0.21615677977897166,0.1783198701831345,0.2622571375329783,0.05098501105213056,0.02144487499336483,0.005638806264713761,0.015394628150892388,0.0,0.0,0.0,6.479447971995759,2.1900303389367877,1.8742148092967208,1.5461450796539498,2.27393381558829,0.4420720130257793,0.18594051196163913,0.04889198580256501,0.1334810783798769,0.0,0.0,0.0,1.4993148721202714,6.479447971995759,1.520552028004241,0.0,0.0,0.7799053993651199,2.1900303389367877,1.0943094099316009,0.04889198580256501,1.5461450796539498,0.4420720130257793,0.0,0.18594051196163913,0.7533817875840492,0.1334810783798769,45.22009460063488,98.19999999999999,1.960642525080355,0.7799053993651199,1.0943094099316009,7.181941585203551,9.067597295645538,-0.0,100.88018140592943,,Low B Cations,False,0.666809924183805,0.5388529134096812,0.4420720130257793,1.9882170926797291,0.18594051196163913,N/A,Tschermakitic pargasite
34,Schmidt (1992),R07,655,928.15,15,9.5,0.05,42.63,1.21,14.68,,16.06,0.23,9.02,10.3,1.74,1.0,,,96.87,2.561,0.7095066906331137,0.22379912663755455,0.22353366923697907,0.18366946628862854,0.2879532370219986,0.0561480501460172,0.02123254949838102,0.0032423136022104123,0.015144308993967308,0.0,0.0,0.0,6.3037979606891685,1.9884019371867359,1.9860434114075014,1.6318594628022072,2.5583959281530726,0.4988620525781089,0.1886461452656516,0.028807184122943964,0.13455357844057825,0.0,0.0,0.0,1.4631793461258236,6.3037979606891685,1.6962020393108315,0.0,0.0,0.6136738701392588,1.9884019371867359,1.3723695412682426,0.028807184122943964,1.6318594628022072,0.3681405371977928,0.13072151538031607,0.1886461452656516,0.8621938888422411,0.13455357844057825,45.38632612986074,96.86999999999999,1.9133883757030001,0.6136738701392588,1.3723695412682426,5.514958977429862,11.097569522484974,-0.0,99.33591687561781,,,True,0.5916504439334414,0.5002967113109341,0.3681405371977928,2.0,0.31936766064596767,N/A,Tschermakitic pargasite
35,Schmidt (1992),R13,655,928.15,15,11.5,0.05,42.56,0.44,17.83,0.01,14.91,0.56,8.86,10.74,1.76,0.91,,,98.58,3.036,0.7083416550163105,0.21982929734021434,0.20752721097903848,0.19151554057668646,0.34974156785437566,0.05679343003275303,0.01932162004352673,0.007894328770599266,0.005507021452351749,0.00013158743129491245,0.0,0.0,6.143168388995648,1.906492976704065,1.7998018234767006,1.6609389078565806,3.033170968762672,0.49254706624843453,0.16756880614743033,0.06846440642371597,0.047760229634990436,0.0011412060022100905,0.0,0.0,1.4989726688441847,6.143168388995648,1.8568316110043517,0.0,0.0011412060022100905,0.6018368998648143,1.906492976704065,1.1979649236118863,0.06846440642371597,1.6609389078565806,0.3390610921434194,0.15348597410501513,0.16756880614743033,1.1763393577583203,0.047760229634990436,45.398163100135186,98.58,1.9601950284885492,0.6018368998648143,1.1979649236118863,5.540891149504138,9.924235423069872,-0.0,101.09532160106257,,,True,0.6141146177276343,0.514393236234495,0.3390610921434194,2.0,0.3210547802524455,N/A,Tschermakitic pargasite
36,Schmidt (1992),R10,655,928.15,15,13.0,0.05,40.52,0.97,19.22,0.02,16.67,0.19,6.86,9.57,2.22,0.77,,,97.01,3.345,0.674389188469476,0.17020643112346168,0.232024051443365,0.17065211576525974,0.3770068947931072,0.07163716742767712,0.016349063113753386,0.002678432975739036,0.012140479110866355,0.0002631748625898249,0.0,0.0,5.969229794838518,1.5065503974657557,2.0537175041879645,1.5104952917321668,3.337006031140466,0.6340829917478434,0.14471067497062823,0.02370764863319439,0.10745918065007377,0.0023294430840283546,0.0,0.0,1.468708652778605,5.969229794838518,2.030770205161482,0.0,0.0023294430840283546,0.7075023246155112,1.5065503974657557,1.3462151795724533,0.02370764863319439,1.5104952917321668,0.4895047082678332,0.14457828348001023,0.14471067497062823,1.306235825978984,0.10745918065007377,45.29249767538449,97.00999999999999,1.9206190074797145,0.7075023246155112,1.3462151795724533,6.38220304980474,10.927212237179662,-0.0,99.57003429446411,,Low Mg# (<54),False,0.5281017163106274,0.42315646998529893,0.4895047082678332,2.0,0.28928895845063846,N/A,Tschermakitic pargasite
37,Thomas and Ernst (1990),T&E,750,1023.15,15,6.0,0.05,48.87,1.45,6.67,,11.18,0.2,16.17,11.13,1.3,0.49,,,97.45,2.335,0.8133612941881365,0.4012008733624454,0.15561061158589204,0.19847001551382873,0.1308343386196683,0.041949692637828946,0.0104039492542067,0.0028194031323568805,0.018148138877068263,0.0,0.0,0.0,6.947354055207765,3.4268713478548722,1.329153503073562,1.6952386067171397,1.1175260975223285,0.3583147727149261,0.08886569788587684,0.024082030857389608,0.15501296548408205,0.0,0.0,0.0,1.5219746597655675,6.947354055207765,1.0526459447922347,0.0,0.0,0.8400821770588962,3.4268713478548722,0.48907132601466574,0.024082030857389608,1.6952386067171397,0.30476139328286034,0.053553379432065784,0.08886569788587684,0.06488015273009373,0.15501296548408205,45.159917822941104,97.46,1.9902745550780498,0.8400821770588962,0.48907132601466574,7.853012434882354,4.113759179959327,-0.0,100.23704616991974,,,True,0.8751076390167402,0.7205326833365694,0.30476139328286034,2.0,0.14241907731794262,N/A,Mg-Hornblende
38,Thomas and Ernst (1990),T&E,750,1023.15,15,8.0,0.05,46.7,1.28,7.38,,14.61,0.72,14.39,11.6,1.43,0.81,,,98.9,2.628,0.7772451900672392,0.35703652242953554,0.20335161317261918,0.206851049412436,0.14476123223585488,0.04614466190161184,0.017198365093688626,0.010149851276484769,0.016020426043205086,0.0,0.0,0.0,6.697880816880833,3.076748631020477,1.7523747800006704,1.7825310384891133,1.2474744042310306,0.39764986609376124,0.14820625603712603,0.08746595672477511,0.1380554111422146,0.0,0.0,0.0,1.5085648352249388,6.697880816880833,1.2474744042310306,0.05464477888813657,0.0,0.9697349406137548,3.076748631020477,0.7826398393869156,0.08746595672477511,1.7825310384891133,0.21746896151088668,0.18018090458287456,0.14820625603712603,0.0,0.08341063225407802,45.030265059386245,98.92,1.972738630678766,0.9697349406137548,0.7826398393869156,8.98512486008727,6.5250699701569905,-0.0,101.79293346092302,,,True,0.7972114376699941,0.6371236286897626,0.21746896151088668,2.0,0.3283871606200006,N/A,Mg-Hornblende
39,Thomas and Ernst (1990),T&E,750,1023.15,15,10.0,0.05,46.57,1.38,7.53,,14.66,0.68,14.11,11.57,1.57,0.88,,,98.93,2.831,0.7750815524931762,0.3500893211591901,0.20404754614035575,0.20631608980188662,0.14770353370406333,0.05066232110876265,0.018684643558575298,0.009585970650013393,0.017272021827830483,0.0,0.0,0.0,6.70048846533912,3.0264808273658512,1.763966933410201,1.7835782253940073,1.2768796014953763,0.4379697815341301,0.16152653645347714,0.08286958393331077,0.1493145884561387,0.0,0.0,0.0,1.5037799459746295,6.70048846533912,1.2768796014953763,0.022631933165503604,0.0,0.8568615221384945,3.0264808273658512,0.9071054112717065,0.08286958393331077,1.7835782253940073,0.21642177460599266,0.22154800692813742,0.16152653645347714,0.0,0.1266826552906351,45.143138477861505,98.94999999999999,1.966481467812977,0.8568615221384945,0.9071054112717065,7.914108908556319,7.538783793148804,-0.0,101.7093741695181,,,True,0.7693948076282947,0.631774100982068,0.21642177460599266,2.0,0.38307454338161456,N/A,Mg-Hornblende
40,Thomas and Ernst (1990),T&E,750,1023.15,15,12.0,0.05,46.03,1.45,8.63,,16.43,0.7,13.02,11.4,1.5,1.06,,,100.2,3.476,0.7660941348778376,0.3230448590710599,0.22868357319822952,0.20328465200877335,0.16928041113759185,0.04840349150518724,0.02250650246828388,0.00986791096324908,0.018148138877068263,0.0,0.0,0.0,6.573228616722248,2.7717843218699283,1.9621471292958006,1.7442197128131918,1.452457070327998,0.41531086197638667,0.19310993173240293,0.08466849147884334,0.1557143703051807,0.0,0.0,0.0,1.5151190281250364,6.573228616722248,1.4267713832777522,0.0,0.0,0.9927967362819743,2.7717843218699283,0.9693503930138263,0.08466849147884334,1.7442197128131918,0.25578028718680823,0.15953057478957844,0.19310993173240293,0.025685687050245765,0.1557143703051807,45.007203263718026,100.22000000000001,1.9813094983173551,0.9927967362819743,0.9693503930138263,9.238770645280933,8.116836255257288,-0.0,103.1269163988556,,Recalc Total>102,False,0.7408940156158086,0.5855142497231086,0.25578028718680823,2.0,0.35264050652198137,N/A,Mg-Hornblende
41,Mutch et al. (2016),FY1301,679,952.15,40,1.43,0.2,49.17,0.57,4.99,,13.27,0.45,14.0,12.25,0.73,0.45,,0.07,95.88,0.869,0.8183543039744358,0.3473600635172687,0.18470060963727972,0.21844184097433977,0.09788056217573386,0.02355636586585779,0.00955464727427146,0.00634365704780298,0.007134095972364765,0.0,0.0,0.001974445039911996,7.2778768140902566,3.089180004474225,1.6425993947842488,1.9426705547136722,0.8704819789536372,0.20949401515545657,0.08497242029095893,0.056416095474201594,0.06344571222343097,0.0,0.0,0.01755934771392113,1.4617732923248858,7.2778768140902566,0.7221231859097434,0.0,0.0,0.2670654235452261,3.089180004474225,1.3755339712390227,0.056416095474201594,1.9426705547136722,0.057329445286327774,0.1521645698691288,0.08497242029095893,0.14835879304389377,0.06344571222343097,45.732934576454774,95.95,1.8947669071240603,0.2670654235452261,1.3755339712390227,2.3977548583742965,11.112469574932089,-0.01579457309677604,98.0691967673337,,Recalc Total<98.5,False,0.6919099456938272,0.6528579935400911,0.057329445286327774,2.0,0.2371369901600877,N/A,Mg-Hornblende
42,Mutch et al. (2016),FY1307,699,972.15,40,0.92,0.1,49.0,0.97,5.04,,12.37,0.41,14.59,12.07,0.85,0.53,,0.11,95.84,0.876,0.8155249317621995,0.3619988090512108,0.17217381621802186,0.21523208331104335,0.09886132933180333,0.02742864518627277,0.01125325123414194,0.005779776421331604,0.012140479110866355,0.0,0.0,0.0031026993484331365,7.2294407810026335,3.209036107791636,1.526281245256117,1.9079828707465345,0.8763829260144251,0.2431486253262859,0.09975748162006692,0.051236387433506676,0.10762255250168183,0.0,0.0,0.02750471546257209,1.4664791418954335,7.2294407810026335,0.7705592189973665,0.0,0.0,0.29061855853752405,3.209036107791636,1.235662686718593,0.051236387433506676,1.9079828707465345,0.0920171292534655,0.1511314960728204,0.09975748162006692,0.10582370701705868,0.10762255250168183,45.709381441462476,95.93999999999998,1.8913305487861929,0.29061855853752405,1.235662686718593,2.617618354003361,10.014633595359468,-0.024820043437790918,98.0687624547112,,Recalc Total<98.5,False,0.7219918055538894,0.677681318597629,0.0920171292534655,2.0,0.2508889776928873,N/A,Mg-Hornblende
43,Mutch et al. (2016),FY1305,694,967.15,40,1.29,0.1,50.72,0.62,4.22,,11.72,0.41,15.97,12.2,0.95,0.44,,0.06,97.25,0.719,0.8441515212036481,0.3962385867407701,0.16312668763744675,0.2175502416234241,0.0827767479722639,0.03065554461995192,0.009342321779287649,0.005779776421331604,0.007759893864677464,0.0,0.0,0.0016923814627817107,7.316793410348561,3.4344496308634556,1.4139218412540373,1.8856450937390405,0.7174782593887326,0.26571093131016105,0.08097579251480985,0.050096965971924035,0.06725989217329024,0.0,0.0,0.014668937061229296,1.4998332138401378,7.316793410348561,0.683206589651439,0.0,0.0,0.39643822426451436,3.4344496308634556,1.017483616989523,0.050096965971924035,1.8856450937390405,0.11435490626095945,0.1513560250492016,0.08097579251480985,0.034271669737293564,0.06725989217329024,45.603561775735486,97.31,1.9469351141265356,0.39643822426451436,1.017483616989523,3.6519563797036776,8.433923038165078,-0.013538205511522319,99.60927632648377,,,True,0.7714512863641381,0.7083718008437756,0.11435490626095945,2.0,0.23233181756401144,N/A,Mg-Hornblende
44,Ague (1997),SC-69-1b,690,963.15,40,2.0,0.6,49.94,0.81,4.96,,14.72,0.24,14.32,11.68,0.86,0.43,0.11,0.13,98.2,0.847,0.8311696957592702,0.35529972211194916,0.20488266570163963,0.2082776083739011,0.09729210188209217,0.027751335129640686,0.009129996284303839,0.0033832837588282563,0.01013792585546572,0.0,0.00579008316664912,0.003666826502693707,7.193086780149416,3.0748254503908483,1.773090142313215,1.802470565324068,0.8419827328061267,0.24016486990681782,0.07901257217450323,0.02927952475082803,0.08773536958956446,0.0,0.0501083844785073,0.03173335285947045,1.5021653950692453,7.193086780149416,0.8069132198505837,0.0,0.0,0.6722543949864601,3.0748254503908483,1.100835747326755,0.02927952475082803,1.802470565324068,0.19752943467593198,0.04263543523088584,0.07901257217450323,0.03506951295554295,0.08773536958956446,45.32774560501354,98.20000000000002,1.8839863998242143,0.6722543949864601,1.100835747326755,6.202381788109635,9.139017703583486,-0.075650548899908,100.62973534261745,,,True,0.7363685186124616,0.6342572166516985,0.19752943467593198,2.0,0.12164800740538907,N/A,Mg-Hornblende
